time,posX,setPosX,posY,setPosY,posZ,setPosZ,angleX,setAngleX,angleY,setAngleY,angleZ,setAngleZ,m1,m2,m3,m4
000.550,9.780796,0.0,9.780796,0.0,9.9491625,10.0,-0.39338526,-0.43633232,-0.39338526,-0.43633232,-0.0015897771,0.0,0.50670826,0.4681504,0.50670826,0.5512173
000.555,9.774312,0.0,9.774312,0.0,9.948277,10.0,-0.39444277,-0.43633232,-0.39444277,-0.43633232,-0.0015503007,0.0,0.5071332,0.44125766,0.5071332,0.5788128
000.560,9.767715,0.0,9.767715,0.0,9.947398,10.0,-0.39548117,-0.43633232,-0.39548117,-0.43633232,-0.0015118042,0.0,0.5079249,0.47200945,0.5079249,0.5494993
000.565,9.761005,0.0,9.761005,0.0,9.946525,10.0,-0.3964869,-0.43633232,-0.3964869,-0.43633232,-0.0014742634,0.0,0.50831664,0.44490877,0.50831664,0.5772444
000.570,9.754181,0.0,9.754181,0.0,9.945657,10.0,-0.39747486,-0.43633232,-0.39747486,-0.43633232,-0.0014376544,0.0,0.5086911,0.4752977,0.5086911,0.54746604
000.575,9.747242,0.0,9.747242,0.0,9.944795,10.0,-0.39843136,-0.43633232,-0.39843136,-0.43633232,-0.0014019541,0.0,0.50904715,0.44796443,0.50904715,0.57537866
000.580,9.740189,0.0,9.740189,0.0,9.943938,10.0,-0.3993713,-0.43633232,-0.3993713,-0.43633232,-0.0013671402,0.0,0.50938547,0.4783567,0.50938547,0.54553306
000.585,9.733021,0.0,9.733021,0.0,9.943088,10.0,-0.40028098,-0.43633232,-0.40028098,-0.43633232,-0.0013331904,0.0,0.50970644,0.45090383,0.50970644,0.57349914
000.590,9.725738,0.0,9.725738,0.0,9.942242,10.0,-0.40117526,-0.43633232,-0.40117526,-0.43633232,-0.0013000832,0.0,0.5100088,0.48117733,0.5100088,0.54370785
000.595,9.718339,0.0,9.718339,0.0,9.9414015,10.0,-0.4020404,-0.43633232,-0.4020404,-0.43633232,-0.001267798,0.0,0.51067805,0.45399332,0.51067805,0.5721097
000.600,9.710824,0.0,9.710824,0.0,9.940567,10.0,-0.40289122,-0.43633232,-0.40289122,-0.43633232,-0.0012363142,0.0,0.5109482,0.4842812,0.5109482,0.5422436
000.605,9.703194,0.0,9.703194,0.0,9.939737,10.0,-0.403714,-0.43633232,-0.403714,-0.43633232,-0.001205612,0.0,0.51120037,0.4566171,0.51120037,0.5702974
000.610,9.695447,0.0,9.695447,0.0,9.938913,10.0,-0.4045235,-0.43633232,-0.4045235,-0.43633232,-0.0011756718,0.0,0.51181924,0.48708043,0.51181924,0.54095924
