time,posX,setPosX,posY,setPosY,posZ,setPosZ,angleX,setAngleX,angleY,setAngleY,angleZ,setAngleZ,m1,m2,m3,m4
000.585,0.0,0.0,0.0,0.0,2.2689953,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.590,0.0,0.0,0.0,0.0,2.3080268,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.595,0.0,0.0,0.0,0.0,2.3473911,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.600,0.0,0.0,0.0,0.0,2.3870883,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.605,0.0,0.0,0.0,0.0,2.4271183,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.610,0.0,0.0,0.0,0.0,2.4674811,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.615,0.0,0.0,0.0,0.0,2.5081768,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.620,0.0,0.0,0.0,0.0,2.5492053,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.625,0.0,0.0,0.0,0.0,2.5905669,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.630,0.0,0.0,0.0,0.0,2.6322613,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.635,0.0,0.0,0.0,0.0,2.6742885,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.640,0.0,0.0,0.0,0.0,2.7166486,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.645,0.0,0.0,0.0,0.0,2.7593415,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
