time,Xangle,Yangle,Zangle,velocityX,velocityY,velocityZ,accelX,accelY,accelZ
1.29,0.0,0.0,0.0,0.0,-7.672236,0.0,0.0,-6.0340734,-0.0
1.30,0.0,0.0,0.0,0.0,-7.7325974,0.0,0.0,-6.0361395,-0.0
1.31,0.0,0.0,0.0,0.0,-7.7929797,0.0,0.0,-6.0382223,-0.0
1.32,0.0,0.0,0.0,0.0,-7.853383,0.0,0.0,-6.040322,-0.0
1.33,0.0,0.0,0.0,0.0,-7.9138074,0.0,0.0,-6.042439,-0.0
1.34,0.0,0.0,0.0,0.0,-7.974253,0.0,0.0,-6.0445733,-0.0
1.35,0.0,0.0,0.0,0.0,-8.03472,0.0,0.0,-6.0467243,-0.0
1.36,0.0,0.0,0.0,0.0,-8.095209,0.0,0.0,-6.0488925,-0.0
1.37,0.0,0.0,0.0,0.0,-8.15572,0.0,0.0,-6.051078,-0.0
1.38,0.0,0.0,0.0,0.0,-8.216252,0.0,0.0,-6.053281,-0.0
1.39,0.0,0.0,0.0,0.0,-8.276808,0.0,0.0,-6.055501,-0.0
1.40,0.0,0.0,0.0,0.0,-8.337385,0.0,0.0,-6.057738,-0.0
1.41,0.0,0.0,0.0,0.0,-8.397985,0.0,0.0,-6.059993,-0.0
1.42,0.0,0.0,0.0,0.0,-8.458608,0.0,0.0,-6.0622644,-0.0
1.43,0.0,0.0,0.0,0.0,-8.519253,0.0,0.0,-6.0645533,-0.0
1.44,0.0,0.0,0.0,0.0,-8.579922,0.0,0.0,-6.0668597,-0.0
1.45,0.0,0.0,0.0,0.0,-8.640614,0.0,0.0,-6.0691833,-0.0
1.46,0.0,0.0,0.0,0.0,-8.701329,0.0,0.0,-6.0715246,-0.0
1.47,0.0,0.0,0.0,0.0,-8.762068,0.0,0.0,-6.073883,-0.0
1.48,0.0,0.0,0.0,0.0,-8.82283,0.0,0.0,-6.076259,-0.0
1.49,0.0,0.0,0.0,0.0,-8.883616,0.0,0.0,-6.078653,-0.0
1.50,0.0,0.0,0.0,0.0,-8.9444275,0.0,0.0,-6.0810637,-0.0
1.51,0.0,0.0,0.0,0.0,-9.005262,0.0,0.0,-6.083492,-0.0
1.52,0.0,0.0,0.0,0.0,-9.066122,0.0,0.0,-6.085938,-0.0
1.53,0.0,0.0,0.0,0.0,-9.127007,0.0,0.0,-6.0884013,-0.0
1.54,0.0,0.0,0.0,0.0,-9.187916,0.0,0.0,-6.090883,-0.0
1.55,0.0,0.0,0.0,0.0,-9.24885,0.0,0.0,-6.0933814,-0.0
1.56,0.0,0.0,0.0,0.0,-9.309809,0.0,0.0,-6.095898,-0.0
1.57,0.0,0.0,0.0,0.0,-9.370793,0.0,0.0,-6.098432,-0.0
1.58,0.0,0.0,0.0,0.0,-9.431803,0.0,0.0,-6.1009836,-0.0
1.59,0.0,0.0,0.0,0.0,-9.492838,0.0,0.0,-6.103554,-0.0
1.60,0.0,0.0,0.0,0.0,-9.5539,0.0,0.0,-6.106141,-0.0
1.61,0.0,0.0,0.0,0.0,-9.614987,0.0,0.0,-6.108746,-0.0
1.62,0.0,0.0,0.0,0.0,-9.676101,0.0,0.0,-6.111369,-0.0
1.63,0.0,0.0,0.0,0.0,-9.737241,0.0,0.0,-6.1140103,-0.0
1.64,0.0,0.0,0.0,0.0,-9.798408,0.0,0.0,-6.116669,-0.0
1.65,0.0,0.0,0.0,0.0,-9.859601,0.0,0.0,-6.119345,-0.0
1.66,0.0,0.0,0.0,0.0,-9.920821,0.0,0.0,-6.1220403,-0.0
1.67,0.0,0.0,0.0,0.0,-9.982069,0.0,0.0,-6.1247525,-0.0
1.68,0.0,0.0,0.0,0.0,-10.043344,0.0,0.0,-6.127483,-0.0
1.69,0.0,0.0,0.0,0.0,-10.104646,0.0,0.0,-6.1302314,-0.0
1.70,0.0,0.0,0.0,0.0,-10.165976,0.0,0.0,-6.1329985,-0.0
1.71,0.0,0.0,0.0,0.0,-10.227333,0.0,0.0,-6.135783,-0.0
1.72,0.0,0.0,0.0,0.0,-10.288719,0.0,0.0,-6.1385856,-0.0
1.73,0.0,0.0,0.0,0.0,-10.350133,0.0,0.0,-6.1414075,-0.0
1.74,0.0,0.0,0.0,0.0,-10.411575,0.0,0.0,-6.1442466,-0.0
1.75,0.0,0.0,0.0,0.0,-10.473046,0.0,0.0,-6.1471033,-0.0
1.76,0.0,0.0,0.0,0.0,-10.534546,0.0,0.0,-6.1499796,-0.0
1.77,0.0,0.0,0.0,0.0,-10.596075,0.0,0.0,-6.152873,-0.0
1.78,0.0,0.0,0.0,0.0,-10.657633,0.0,0.0,-6.155786,-0.0
1.79,0.0,0.0,0.0,0.0,-10.71922,0.0,0.0,-6.1587167,-0.0
1.80,0.0,0.0,0.0,0.0,-10.780837,0.0,0.0,-6.1616654,-0.0
1.81,0.0,0.0,0.0,0.0,-10.8424835,0.0,0.0,-6.164633,-0.0
1.82,0.0,0.0,0.0,0.0,-10.90416,0.0,0.0,-6.167619,-0.0
1.83,0.0,0.0,0.0,0.0,-10.965866,0.0,0.0,-6.1706233,-0.0
1.84,0.0,0.0,0.0,0.0,-11.027602,0.0,0.0,-6.1736465,-0.0
1.85,0.0,0.0,0.0,0.0,-11.089369,0.0,0.0,-6.1766877,-0.0
1.86,0.0,0.0,0.0,0.0,-11.151166,0.0,0.0,-6.1797476,-0.0
1.87,0.0,0.0,0.0,0.0,-11.212995,0.0,0.0,-6.182826,-0.0
1.88,0.0,0.0,0.0,0.0,-11.274854,0.0,0.0,-6.1859236,-0.0
1.89,0.0,0.0,0.0,0.0,-11.336744,0.0,0.0,-6.1890397,-0.0
1.90,0.0,0.0,0.0,0.0,-11.398666,0.0,0.0,-6.192175,-0.0
1.91,0.0,0.0,0.0,0.0,-11.46062,0.0,0.0,-6.195328,-0.0
1.92,0.0,0.0,0.0,0.0,-11.522605,0.0,0.0,-6.1985,-0.0
1.93,0.0,0.0,0.0,0.0,-11.584621,0.0,0.0,-6.2016916,-0.0
1.94,0.0,0.0,0.0,0.0,-11.64667,0.0,0.0,-6.2049017,-0.0
1.95,0.0,0.0,0.0,0.0,-11.708752,0.0,0.0,-6.2081304,-0.0
1.96,0.0,0.0,0.0,0.0,-11.770865,0.0,0.0,-6.2113786,-0.0
1.97,0.0,0.0,0.0,0.0,-11.833012,0.0,0.0,-6.214645,-0.0
1.98,0.0,0.0,0.0,0.0,-11.895191,0.0,0.0,-6.217931,-0.0
1.99,0.0,0.0,0.0,0.0,-11.957403,0.0,0.0,-6.2212358,-0.0
2.00,0.0,0.0,0.0,0.0,-12.019649,0.0,0.0,-6.2245593,-0.0
2.01,0.0,0.0,0.0,0.0,-12.081927,0.0,0.0,-6.227903,-0.0
2.02,0.0,0.0,0.0,0.0,-12.14424,0.0,0.0,-6.231265,-0.0
2.03,0.0,0.0,0.0,0.0,-12.206587,0.0,0.0,-6.234647,-0.0
2.04,0.0,0.0,0.0,0.0,-12.268968,0.0,0.0,-6.238047,-0.0
2.05,0.0,0.0,0.0,0.0,-12.331383,0.0,0.0,-6.2414675,-0.0
2.06,0.0,0.0,0.0,0.0,-12.393832,0.0,0.0,-6.244907,-0.0
2.07,0.0,0.0,0.0,0.0,-12.456316,0.0,0.0,-6.2483654,-0.0
2.08,0.0,0.0,0.0,0.0,-12.518834,0.0,0.0,-6.2518435,-0.0
2.09,0.0,0.0,0.0,0.0,-12.5813875,0.0,0.0,-6.2553415,-0.0
2.10,0.0,0.0,0.0,0.0,-12.643976,0.0,0.0,-6.258858,-0.0
2.11,0.0,0.0,0.0,0.0,-12.7066,0.0,0.0,-6.2623944,-0.0
2.12,0.0,0.0,0.0,0.0,-12.769259,0.0,0.0,-6.265951,-0.0
2.13,0.0,0.0,0.0,0.0,-12.831955,0.0,0.0,-6.2695265,-0.0
2.14,0.0,0.0,0.0,0.0,-12.894686,0.0,0.0,-6.273122,-0.0
2.15,0.0,0.0,0.0,0.0,-12.957453,0.0,0.0,-6.276737,-0.0
2.16,0.0,0.0,0.0,0.0,-13.020256,0.0,0.0,-6.280372,-0.0
2.17,0.0,0.0,0.0,0.0,-13.0830965,0.0,0.0,-6.2840266,-0.0
2.18,0.0,0.0,0.0,0.0,-13.145973,0.0,0.0,-6.287701,-0.0
2.19,0.0,0.0,0.0,0.0,-13.208887,0.0,0.0,-6.291395,-0.0
2.20,0.0,0.0,0.0,0.0,-13.271838,0.0,0.0,-6.295109,-0.0
2.21,0.0,0.0,0.0,0.0,-13.334826,0.0,0.0,-6.2988434,-0.0
2.22,0.0,0.0,0.0,0.0,-13.397853,0.0,0.0,-6.3025975,-0.0
2.23,0.0,0.0,0.0,0.0,-13.4609165,0.0,0.0,-6.306371,-0.0
2.24,0.0,0.0,0.0,0.0,-13.524018,0.0,0.0,-6.3101654,-0.0
2.25,0.0,0.0,0.0,0.0,-13.587158,0.0,0.0,-6.3139796,-0.0
2.26,0.0,0.0,0.0,0.0,-13.650336,0.0,0.0,-6.317814,-0.0
2.27,0.0,0.0,0.0,0.0,-13.713552,0.0,0.0,-6.3216686,-0.0
2.28,0.0,0.0,0.0,0.0,-13.776808,0.0,0.0,-6.3255434,-0.0
2.29,0.0,0.0,0.0,0.0,-13.840102,0.0,0.0,-6.3294387,-0.0
2.30,0.0,0.0,0.0,0.0,-13.903436,0.0,0.0,-6.333354,-0.0
2.31,0.0,0.0,0.0,0.0,-13.966808,0.0,0.0,-6.33729,-0.0
2.32,0.0,0.0,0.0,0.0,-14.030221,0.0,0.0,-6.341246,-0.0
2.33,0.0,0.0,0.0,0.0,-14.093673,0.0,0.0,-6.345223,-0.0
2.34,0.0,0.0,0.0,0.0,-14.157165,0.0,0.0,-6.3492203,-0.0
2.35,0.0,0.0,0.0,0.0,-14.220697,0.0,0.0,-6.353238,-0.0
2.36,0.0,0.0,0.0,0.0,-14.28427,0.0,0.0,-6.357277,-0.0
2.37,0.0,0.0,0.0,0.0,-14.347883,0.0,0.0,-6.361336,-0.0
2.38,0.0,0.0,0.0,0.0,-14.411537,0.0,0.0,-6.365416,-0.0
2.39,0.0,0.0,0.0,0.0,-14.475232,0.0,0.0,-6.369517,-0.0
2.40,0.0,0.0,0.0,0.0,-14.538968,0.0,0.0,-6.3736377,-0.0
2.41,0.0,0.0,0.0,0.0,-14.602746,0.0,0.0,-6.3777804,-0.0
2.42,0.0,0.0,0.0,0.0,-14.666566,0.0,0.0,-6.3819437,-0.0
2.43,0.0,0.0,0.0,0.0,-14.730427,0.0,0.0,-6.3861284,-0.0
2.44,0.0,0.0,0.0,0.0,-14.794331,0.0,0.0,-6.390333,-0.0
2.45,0.0,0.0,0.0,0.0,-14.858276,0.0,0.0,-6.3945594,-0.0
2.46,0.0,0.0,0.0,0.0,-14.922264,0.0,0.0,-6.3988066,-0.0
2.47,0.0,0.0,0.0,0.0,-14.986295,0.0,0.0,-6.403075,-0.0
2.48,0.0,0.0,0.0,0.0,-15.050368,0.0,0.0,-6.4073653,-0.0
2.49,0.0,0.0,0.0,0.0,-15.114485,0.0,0.0,-6.411676,-0.0
2.50,0.0,0.0,0.0,0.0,-15.178645,0.0,0.0,-6.4160085,-0.0
2.51,0.0,0.0,0.0,0.0,-15.242848,0.0,0.0,-6.4203625,-0.0
